monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Giadrome,908.2,996.8,878.7,900.8,649.8,664.6,738.4
Velocidrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Gendrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Iodrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Yian Kut-Ku,1122.2,1177.3,1048.6,1113.0,459.9,809.0,919.8
Blue Yian Kut-Ku,1122.2,1204.9,1048.6,1113.0,6217.9,809.4,919.8
Scarred Yian Garuga,1248.4,1341.2,1196.8,1238.0,887.3,938.8,1031.7
Yian Garuga,1248.4,1341.2,1186.5,1238.0,887.3,938.8,1031.7
Gypceros,1267.1,1348.2,1206.3,6670.1,892.1,942.7,1013.7
Purple Gypceros,1267.1,1368.5,1206.3,1257.0,902.2,942.7,1013.7
Hypnocatrice,1010.2,1177.2,960.1,1001.9,734.7,759.8,834.9
Rathian,2139.3,2221.6,4492.5,4492.5,1448.1,1530.4,1645.6
Pink Rathian,2122.8,2303.8,1941.8,2073.5,1464.6,1530.4,1645.6
Gold Rathian,2122.8,2303.8,11206.5,2106.4,1497.5,1530.4,1645.6
Rathalos,2069.3,2216.0,1857.5,2053.0,1433.9,1466.5,1629.4
Azure Rathalos,2085.6,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4
Silver Rathalos,2069.3,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4
Khezu,1178.8,1205.0,1030.4,1170.1,436.6,803.3,873.2
Red Khezu,1178.8,1205.0,1039.1,1170.1,6278.3,812.1,873.2
Basarios,1673.9,1725.8,1531.2,1660.9,1154.9,1206.8,1297.6
Gravios,2834.9,2981.9,2582.9,2813.9,1973.9,2036.9,2099.9
Black Gravios,2834.9,3002.9,2603.9,2813.9,1952.9,2036.9,2099.9
Monoblos,2545.3,2805.9,2365.0,2525.3,1863.9,14109.6,2004.2
White Monoblos,2545.3,2805.8,2324.9,2525.3,1863.9,1883.9,2004.2
Diablos,2770.8,3069.8,2491.8,2750.9,1893.7,1933.6,1993.4
Black Diablos,2790.8,2810.7,2451.9,2750.9,1893.7,1933.6,1993.4
