monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Akantor,3854.5,4142.5,3554.8,3796.0,2686.2,2799.9,3049.0
Ashen Lao-Shan Lung,8798.8,9456.1,8114.5,8665.1,6131.8,6391.5,6960.0
Azure Rathalos,2085.6,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4
Basarios,1673.9,1725.8,1531.2,1660.9,1154.9,1206.8,1297.6
Black Diablos,2790.8,2810.7,2451.9,2750.9,1893.7,1933.6,1993.4
Black Gravios,2834.9,3002.9,2603.9,2813.9,1952.9,2036.9,2099.9
Blangonga,1186.8,1229.8,1075.0,1178.2,825.6,851.4,860.0
Blue Yian Kut-Ku,1122.2,1204.9,1048.6,1113.0,6217.9,809.4,919.8
Bulldrome,741.5,820.7,639.6,724.5,503.7,554.7,566.0
Cephadrome,1876.7,2015.2,1815.2,1861.3,1369.1,1430.6,1538.3
Chameleos,2459.0,2633.4,2092.8,2451.6,1656.8,1674.2,1744.0
Congalala,1239.8,1377.6,1141.4,1220.2,915.1,954.5,984.0
Copper Blangonga,1186.8,1247.0,1075.0,1178.2,799.8,842.8,860.0
Crimson Fatalis,5196.6,5584.8,4792.5,5117.6,3621.4,3774.8,4110.6
Daimyo Hermitaur,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044.0
Diablos,2770.8,3069.8,2491.8,2750.9,1893.7,1933.6,1993.4
Emerald Congalala,1230.0,1377.6,1141.4,1220.2,934.8,954.5,984.0
Fatalis,5196.6,5584.8,4792.5,5117.6,3621.4,3774.8,4110.6
Furious Rajang,1344.0,1440.0,2841.6,2841.6,960.0,979.2,960.0
Gendrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Giadrome,908.2,996.8,878.7,900.8,649.8,664.6,738.4
Gold Rathian,2122.8,2303.8,11206.5,2106.4,1497.5,1530.4,1645.6
Gravios,2834.9,2981.9,2582.9,2813.9,1973.9,2036.9,2099.9
Green Plesioth,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2
Gypceros,1267.1,1348.2,1206.3,6670.1,892.1,942.7,1013.7
Hypnocatrice,1010.2,1177.2,960.1,1001.9,734.7,759.8,834.9
Iodrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Khezu,1178.8,1205.0,1030.4,1170.1,436.6,803.3,873.2
King Shakalaka,151.7,163.0,139.9,149.4,105.7,110.2,120.0
Kirin,821.3,928.6,603.6,812.5,441.1,450.4,464.3
Kushala Daora,1892.4,2176.3,1750.5,1876.6,1419.3,10692.1,1577.0
Lao-Shan Lung,8798.8,9456.1,8114.5,8665.1,6131.8,6391.5,6960.0
Lavasioth,2578.9,2845.7,2445.5,2556.7,1800.8,1889.7,2223.2
